"SMILES	Canonical_Smiles"
"[H][C@]12CO[C@H](c3ccc(O)c(OC)c3)[C@@]1([H])COC2c1ccc2OCOc2c1	COc1cc(ccc1O)[C@H]2OC[C@H]3[C@@H]2COC3c4ccc5OCOc5c4"
"C\C=C(\C)C(=O)O[C@H]1C=C(C)C[C@H](OC(=O)c2ccc(O)cc2)C2[C@]1(C)CC[C@@]2(O)C(C)C	CC=C(C)C(=O)O[C@H]1C=C(C)C[C@H](OC(=O)c2ccc(O)cc2)C3[C@]1(C)CC[C@@]3(O)C(C)C"
"CC(C)C1(O)CCC2C(=C1)C(=O)CC1C2(C)CCCC1(C)C(O)=O	CC(C)C1(O)CCC2C(=C1)C(=O)CC3C2(C)CCCC3(C)C(=O)O"
"OC1=C(C2CCCN2C1=O)c1ccccc1	OC1=C(C2CCCN2C1=O)c3ccccc3"
"CC(=O)OC\C1=C\[C@H]2OC(=O)C(=C)C2[C@H](C[C@@]2(C)OC1=CC2=O)OC(=O)C(C)=C	CC(=O)OC\C\1=C\[C@H]2OC(=O)C(=C)C2[C@H](C[C@@]3(C)OC1=CC3=O)OC(=O)C(=C)C"
"[H][C@]12[C@H](CCCC1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC	CC[C@H](C)C(=O)O[C@H]1CCCC2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12"
"C[C@@]1(CCC2=C(C1)C(=O)CC1[C@@](C)(CCC[C@]21C)C(O)=O)C=C	C[C@@]1(CCC2=C(C1)C(=O)CC3[C@@](C)(CCC[C@]23C)C(=O)O)C=C"
"CC(C)C(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)\C=C\C(C)C(=O)C2(O)C[C@@](C)(OC(C)=O)[C@H](OC(C)=O)C2[C@H]2OC(=O)CC[C@@]12OC(C)=O	CC(C)C(=O)O[C@@H]1[C@@H](OC(=O)C)[C@@H](OC(=O)C)C(C)(C)\C=C\C(C)C(=O)C2(O)C[C@@](C)(OC(=O)C)[C@H](OC(=O)C)C2[C@H]3OC(=O)CC[C@@]13OC(=O)C"
"COc1cc(ccc1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)C(C)=O	COc1cc(ccc1O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)C(=O)C"
"COC(=O)C1=CC(OC2(CC3\C(=C(\O)/C=C/C=C/C)C(=O)C2(C)C(=O)C3(C)O)C(O)=O)C(O)C(O)C1	COC(=O)C1=CC(OC2(CC3C(=C(O)C2(C)C(=O)C3(C)O)C(=O)C=CC=CC)C(=O)O)C(O)C(O)C1"
"COc1ccc2ccc(=O)oc2c1CC(O)C(C)=C	COc1ccc2C=CC(=O)Oc2c1CC(O)C(=C)C"
"C\C(C=O)=C\C[C@H]1C(=C)CCC2[C@]1(C)CCC[C@]2(C)C(O)=O	C\C(=C\C[C@H]1C(=C)CCC2[C@]1(C)CCC[C@]2(C)C(=O)O)\C=O"
"[H][C@]12CO[C@@H](c3ccc(OC)c(OC)c3)[C@@]1([H])CO[C@@H]2c1ccc(O)c(OC)c1	COc1ccc(cc1OC)[C@@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4ccc(O)c(OC)c4"
"OC[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2cc(O)c(O)c(O)c2)[C@H](O)[C@H]1O	OC[C@@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4cc(O)c(O)c(O)c4)[C@H](O)[C@H]1O"
"C[C@@H]1CCC2C(C)(C)[C@@H](CC[C@]2(C)[C@@]11Cc2c(O1)c1CN([C@@H](CCC(O)=O)C(O)=O)C(=O)c1cc2O)OC(C)=O	C[C@@H]1CCC2C(C)(C)[C@@H](CC[C@]2(C)[C@@]13Cc4c(O)cc5C(=O)N(Cc5c4O3)[C@@H](CCC(=O)O)C(=O)O)OC(=O)C"
"C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)CC4C4=CCC6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)C(C)(C)C7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O	C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)CC4C6=CCC7[C@@]8(C)CC[C@H](O[C@@H]9OC[C@H](O)[C@H](O)[C@H]9O[C@@H]%10O[C@@H](C)[C@H](O)[C@@H](O)[C@H]%10O)C(C)(C)C8CC[C@@]7(C)[C@]6(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O"
"CC1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@@H](O)[C@@](C)(CO)C5CC[C@@]34C)C2C1)C(O)=O	CC1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@@H](O)[C@@](C)(CO)C5CC[C@@]34C)C2C1)C(=O)O"
"CC1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)C5[C@H](O)C[C@@]34C)C2C1)C(=O)OC1OC(CO)C(OC2OCC(O)C(O)C2O)C(O)C1O	CC1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)C5[C@H](O)C[C@@]34C)C2C1)C(=O)OC6OC(CO)C(OC7OCC(O)C(O)C7O)C(O)C6O"
"CO[C@H]1[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)C(CCC4C3CC[C@]35COC6(COC(=O)C6)C3CCC45O)C2)O[C@@H](C)[C@@H]1OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O	CO[C@H]1[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)C(CCC4C3CC[C@]56COC7(COC(=O)C7)C5CCC46O)C2)O[C@@H](C)[C@@H]1OC8OC(CO)C(OC9OC(CO)C(O)C(O)C9O)C(O)C8O"
"CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C)C(CCC4C3CC[C@]35COC6(COC(=O)C6)C3CCC45O)C2)[C@@H]1OC(C)=O	CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C)C(CCC4C3CC[C@]56COC7(COC(=O)C7)C5CCC46O)C2)[C@@H]1OC(=O)C"
