"SMILES	Canonical_Smiles"
"COc1c(O)ccc(C=CC(CC(C=Cc2cc(OC)c(O)cc2)=O)=O)c1	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O"
"Cl.Oc1ccc(c2c(C(c3ccc(OCCN4CCCCC4)cc3)=O)c(c5s2)ccc(O)c5)cc1	Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4"
"C[C@@H]([C@@H]1[C@](C)([C@H]2CC1)CC[C@@H]([C@H]23)[C@](C)([C@@H]4C[C@@H]3O)CC[C@@H](O)C4)CCC(O)=O	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C"
"CC[C@@H]1[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@](O)(C)[C@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@@H](C)C(=O)O1	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"
"Cl.CCN[C@@H]1c(c2S(=O)(=O)[C@@H](C)C1)cc(S(N)(=O)=O)s2	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N"
"CC(NC([C@H]1N(C[C@H](C[C@H](C(N[C@H]2c(c3C[C@H]2O)cccc3)=O)Cc4ccccc4)O)CCN(Cc5cnccc5)C1)=O)(C)C.OS(O)(=O)=O	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@@H]4[C@H](O)Cc5ccccc45"
"N[C@@H]1[C@H]([C@H]12)CN(c3c(F)cc(c4n3)C(=O)C(C(O)=O)=CN4c5c(F)cc(F)cc5)C2	N[C@@H]1[C@H]2CN(C[C@@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F"
"N[C@H]1CN(c2c(Cl)c(c3cc2F)N(C4CC4)C=C(C(O)=O)C3=O)CCCC1	N[C@@H]1CCCCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O"
"CC[C@H](N1C(=O)N(c2ccc(N3CCN(c4ccc(OC[C@H]5C[C@@](c6c(F)cc(F)cc6)(Cn7ncnc7)OC5)cc4)CC3)cc2)C=N1)[C@@H](O)C	CC[C@@H]([C@H](C)O)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OC[C@@H]5CO[C@](Cn6cncn6)(C5)c7ccc(F)cc7F)cc4"
"OC(CCCN1CCC(O[C@H](c2ncccc2)c3ccc(Cl)cc3)CC1)=O.OS(c4ccccc4)(=O)=O	OC(=O)CCCN1CCC(CC1)O[C@@H](c2ccc(Cl)cc2)c3ccccn3"
"Cl.Cl.COC(N[C@H](C(N1[C@H](c2[nH]c(c3ccc(c4ccc(c5[nH]c([C@H]6N(C([C@H](C(C)C)NC(OC)=O)=O)CCC6)nc5)cc4)cc3)cn2)CCC1)=O)C(C)C)=O	COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c2nc(c[nH]2)c3ccc(cc3)c4ccc(cc4)c5c[nH]c(n5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C"
"[Ca+2].CCOC([C@H](C[C@@H](NC(CCC([O-])=O)=O)Cc1ccc(c2ccccc2)cc1)C)=O.CCOC([C@H](C[C@@H](NC(CCC([O-])=O)=O)Cc3ccc(c4ccccc4)cc3)C)=O	CCOC(=O)[C@@H](C)C[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)CCC(=O)O"
